OWNER        WALLCLOCK         UTIME         STIME           CPU             MEMORY                 IO                IOW
ph1kc           161834         30845            11         40178           9504.665              0.000              0.000
ph1lr            77048         49671           669         50373          14647.078              0.000              0.000
ph1pam            2942             5             0            18             11.543              0.000              0.000
pha04ajm        127099           104            16           629            640.017              0.000              0.000
php04arc         22771             0             7            13              0.709              0.000              0.000
php04awb       1844068        148178          1005        161166           7150.600              0.000              0.000
php04fb           7071           962             5           967            528.810              0.000              0.000
php05cd         667964         35888           318         37395            326.204              0.000              0.000
php97pnh            35             0             0             0              0.002              0.000              0.000
pm1rjs          120379           635            80           734           1210.086              0.000              0.000
st1ec            22760          6734            95         14079          11892.529              0.000              0.000
st1lml           29847           557            41           636           1004.732              0.000              0.000
trp02pgb       2131846        442702          8222        550927        2147833.476              0.000              0.000
wrllepc              0             0             0             0              0.000              0.000              0.000
wrllesnb       9778105       7618925          2329       7621333         221564.997              0.000              0.000
wryab         52428844      25148117         96630      27402586         305277.166              0.000              0.000
wrydsh         2896122       1125872        181441       1547442          40051.907              0.000              0.000
wryxsk        11050540       5601511           694       6944769          41357.531              0.000              0.000
xu4ec           713554           325            24           427            598.473              0.000              0.000
xu4kr             2537          1934            66          2106            344.477              0.000              0.000
zza06aks         37664           163            21           372            435.023              0.000              0.000
zza06av         249794           875           205          2225           2335.083              0.000              0.000
zza06awr         19542            23             8           135            113.283              0.000              0.000
zza06nph        429868         44966           741         47742          12824.324              0.000              0.000
zza06pe         112124           345           111          1849           1619.531              0.000              0.000
zza06pj         169996         81548            57         81622          18487.828              0.000              0.000
zza06te          13471             0             0           330            552.478              0.000              0.000
zzb06ym         142324           193            19           760            682.521              0.000              0.000
zze06ms         397181          2143           579          3711           4281.589              0.000              0.000
zzh06jh         144416          1294           510          2434           2629.632              0.000              0.000
